Bulan,Kendaraan_Bermotor,Kecelakaan,Luka_Ringan,Luka_Berat,Meninggal,Kerugian
01/2020,94501,12,14.00,4.00,4.00,37000000
02/2020,94501,12,7.00,6.00,4.00,50000000
03/2020,94501,8,6.00,3.00,2.00,46000000
04/2020,94501,9,7.00,,3.00,73000000
05/2020,94501,3,,1.00,1.00,42000000
06/2020,94501,12,6.00,5.00,5.00,65500000
07/2020,94501,12,4.00,7.00,6.00,47200000
08/2020,94501,14,12.00,6.00,4.00,41500000
09/2020,94501,16,23.00,10.00,3.00,118000000
10/2020,94501,11,5.00,9.00,,81500000
11/2020,94501,20,20.00,5.00,6.00,87000000
12/2020,94501,26,23.00,11.00,5.00,154500000
01/2021,101919,17,15.00,7.00,3.00,62000000
02/2021,101919,11,10.00,3.00,3.00,64000000
03/2021,101919,16,14.00,6.00,10.00,128500000
04/2021,101919,20,12.00,10.00,3.00,79500000
05/2021,101919,15,12.00,8.00,4.00,79500000
06/2021,101919,11,21.00,2.00,1.00,134300000
07/2021,101919,11,12.00,5.00,1.00,35000000
08/2021,101919,15,15.00,5.00,3.00,108500000
09/2021,101919,18,7.00,10.00,7.00,48000000
10/2021,101919,15,9.00,8.00,6.00,92000000
11/2021,101919,13,14.00,2.00,1.00,34500000
12/2021,101919,22,22.00,9.00,3.00,117000000
